0;0;0;0;land;false;unknown;0
1;252;167;148;land;true;plains;1
2;242;156;200;land;false;plains;1
3;214;105;193;land;false;plains;1
4;252;214;197;land;false;plains;1
5;224;199;248;land;false;plains;1
6;250;75;206;land;true;plains;1
7;169;172;254;land;false;plains;1
8;115;167;228;land;false;plains;1
9;226;218;242;land;false;plains;1
10;213;238;54;land;false;plains;1
11;170;209;230;land;false;plains;1
12;69;232;217;land;false;plains;1
13;240;150;215;land;false;plains;1
14;216;108;189;land;false;plains;1
15;56;236;250;land;false;plains;1
16;245;205;114;land;false;plains;1
17;128;175;212;land;false;plains;1
18;156;195;242;land;false;plains;1
19;250;183;114;land;false;plains;1
20;204;221;129;land;false;plains;1
21;252;246;49;land;false;plains;1
22;135;134;254;land;false;plains;1
23;120;212;243;land;false;plains;1
24;158;196;182;land;false;plains;1
25;107;222;181;land;false;plains;1
26;254;251;154;land;false;plains;1
27;226;221;78;land;false;plains;1
28;111;213;219;land;false;plains;1
29;244;186;221;land;true;plains;1
30;152;224;212;land;false;plains;1
31;240;191;121;land;false;plains;1
32;125;219;178;land;false;plains;1
33;142;227;225;land;false;plains;1
34;203;202;207;land;true;plains;1
35;251;215;198;land;false;plains;1
36;230;230;154;land;true;plains;1
37;219;170;245;land;false;plains;1
38;167;216;118;land;false;plains;1
39;102;238;218;land;false;plains;1
40;252;161;115;land;false;plains;1
41;246;127;196;land;true;plains;1
42;192;212;244;land;false;plains;1
43;186;119;227;land;false;plains;1
44;189;219;185;land;false;plains;1
45;209;203;203;land;false;plains;1
46;145;208;216;land;false;plains;1
47;145;223;166;land;false;plains;1
48;186;119;230;land;false;plains;1
49;176;187;176;land;false;plains;1
50;239;90;203;land;false;plains;1
51;237;219;161;land;false;plains;1
52;240;254;202;land;false;plains;1
53;231;88;206;land;false;plains;1
54;247;89;215;land;true;plains;1
55;191;181;192;land;true;plains;1
56;177;196;208;land;false;plains;1
57;140;181;247;land;true;plains;1
58;146;244;114;land;false;plains;1
59;246;176;83;land;false;plains;1
60;228;196;124;land;false;plains;1
61;248;56;212;land;false;plains;1
62;248;191;162;land;true;plains;1
63;219;84;229;land;false;plains;1
64;61;205;236;land;false;plains;1
65;128;208;166;land;false;plains;1
66;209;158;175;land;false;plains;1
67;73;252;231;land;false;plains;1
68;193;238;95;land;false;plains;1
69;240;169;166;land;false;plains;1
70;212;205;167;land;false;plains;1
71;236;130;218;land;false;plains;1
72;129;163;209;land;false;plains;1
73;201;181;161;land;false;plains;1
74;217;167;242;land;false;plains;1
75;193;96;253;land;false;plains;1
76;202;111;226;land;false;plains;1
77;213;220;104;land;false;plains;1
78;201;149;177;land;false;plains;1
79;184;108;212;land;false;plains;1
80;220;166;139;land;false;plains;1
81;211;200;218;land;false;plains;1
82;254;227;40;land;true;plains;1
83;241;161;218;land;true;plains;1
84;253;58;239;land;false;plains;1
85;234;208;95;land;false;plains;1
86;238;122;165;land;false;plains;1
87;173;119;224;land;false;plains;1
88;221;164;132;land;false;plains;1
89;162;156;232;land;false;plains;1
90;128;180;241;land;false;plains;1
91;246;214;167;land;false;plains;1
92;254;182;154;land;false;plains;1
93;243;178;155;land;false;plains;1
